
"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"All Sites","Age 45","Age <br/>85",33.221
"All Sites","Age 45","Age <br/>90",36.099
"All Sites","Age 45","Age <br/>95",37.466
"All Sites","Age 45","Age <br/>95+",38.050
"All Sites","Age 50","Age <br/>5",
"All Sites","Age 50","Age <br/>10",
"All Sites","Age 50","Age <br/>15",
"All Sites","Age 50","Age <br/>20",
"All Sites","Age 50","Age <br/>25",
"All Sites","Age 50","Age <br/>30",
"All Sites","Age 50","Age <br/>35",
"All Sites","Age 50","Age <br/>40",
"All Sites","Age 50","Age <br/>45",
"All Sites","Age 50","Age <br/>50",
"All Sites","Age 50","Age <br/>55",2.568
"All Sites","Age 50","Age <br/>60",6.138
"All Sites","Age 50","Age <br/>65",10.803
"All Sites","Age 50","Age <br/>70",16.517
"All Sites","Age 50","Age <br/>75",22.484
"All Sites","Age 50","Age <br/>80",28.011
"All Sites","Age 50","Age <br/>85",32.478
"All Sites","Age 50","Age <br/>90",35.439
"All Sites","Age 50","Age <br/>95",36.845
"All Sites","Age 50","Age <br/>95+",37.445
"All Sites","Age 55","Age <br/>5",
"All Sites","Age 55","Age <br/>10",
"All Sites","Age 55","Age <br/>15",
"All Sites","Age 55","Age <br/>20",
"All Sites","Age 55","Age <br/>25",
"All Sites","Age 55","Age <br/>30",
"All Sites","Age 55","Age <br/>35",
"All Sites","Age 55","Age <br/>40",
"All Sites","Age 55","Age <br/>45",
"All Sites","Age 55","Age <br/>50",
"All Sites","Age 55","Age <br/>55",
"All Sites","Age 55","Age <br/>60",3.728
"All Sites","Age 55","Age <br/>65",8.598
"All Sites","Age 55","Age <br/>70",14.563
"All Sites","Age 55","Age <br/>75",20.792
"All Sites","Age 55","Age <br/>80",26.563
"All Sites","Age 55","Age <br/>85",31.227
"All Sites","Age 55","Age <br/>90",34.318
"All Sites","Age 55","Age <br/>95",35.786
"All Sites","Age 55","Age <br/>95+",36.413
"All Sites","Age 60","Age <br/>5",
"All Sites","Age 60","Age <br/>10",
"All Sites","Age 60","Age <br/>15",
"All Sites","Age 60","Age <br/>20",
"All Sites","Age 60","Age <br/>25",
"All Sites","Age 60","Age <br/>30",
"All Sites","Age 60","Age <br/>35",
"All Sites","Age 60","Age <br/>40",
"All Sites","Age 60","Age <br/>45",
"All Sites","Age 60","Age <br/>50",
"All Sites","Age 60","Age <br/>55",
"All Sites","Age 60","Age <br/>60",
"All Sites","Age 60","Age <br/>65",5.183
"All Sites","Age 60","Age <br/>70",11.530
"All Sites","Age 60","Age <br/>75",18.159
"All Sites","Age 60","Age <br/>80",24.300
"All Sites","Age 60","Age <br/>85",29.263
"All Sites","Age 60","Age <br/>90",32.553
"All Sites","Age 60","Age <br/>95",34.115
"All Sites","Age 60","Age <br/>95+",34.782
"All Sites","Age 65","Age <br/>5",
"All Sites","Age 65","Age <br/>10",
"All Sites","Age 65","Age <br/>15",
"All Sites","Age 65","Age <br/>20",
"All Sites","Age 65","Age <br/>25",
"All Sites","Age 65","Age <br/>30",
"All Sites","Age 65","Age <br/>35",
"All Sites","Age 65","Age <br/>40",
"All Sites","Age 65","Age <br/>45",
"All Sites","Age 65","Age <br/>50",
"All Sites","Age 65","Age <br/>55",
"All Sites","Age 65","Age <br/>60",
"All Sites","Age 65","Age <br/>65",
"All Sites","Age 65","Age <br/>70",6.924
"All Sites","Age 65","Age <br/>75",14.155
"All Sites","Age 65","Age <br/>80",20.853
"All Sites","Age 65","Age <br/>85",26.266
"All Sites","Age 65","Age <br/>90",29.854
"All Sites","Age 65","Age <br/>95",31.558
"All Sites","Age 65","Age <br/>95+",32.285
"All Sites","Age 70","Age <br/>5",
"All Sites","Age 70","Age <br/>10",
"All Sites","Age 70","Age <br/>15",
"All Sites","Age 70","Age <br/>20",
"All Sites","Age 70","Age <br/>25",
"All Sites","Age 70","Age <br/>30",
"All Sites","Age 70","Age <br/>35",
"All Sites","Age 70","Age <br/>40",
"All Sites","Age 70","Age <br/>45",
"All Sites","Age 70","Age <br/>50",
"All Sites","Age 70","Age <br/>55",
"All Sites","Age 70","Age <br/>60",
"All Sites","Age 70","Age <br/>65",
"All Sites","Age 70","Age <br/>70",
"All Sites","Age 70","Age <br/>75",8.154
"All Sites","Age 70","Age <br/>80",15.707
"All Sites","Age 70","Age <br/>85",21.811
"All Sites","Age 70","Age <br/>90",25.857
"All Sites","Age 70","Age <br/>95",27.778
"All Sites","Age 70","Age <br/>95+",28.598
"All Sites","Age 75","Age <br/>5",
"All Sites","Age 75","Age <br/>10",
"All Sites","Age 75","Age <br/>15",
"All Sites","Age 75","Age <br/>20",
"All Sites","Age 75","Age <br/>25",
"All Sites","Age 75","Age <br/>30",
"All Sites","Age 75","Age <br/>35",
"All Sites","Age 75","Age <br/>40",
"All Sites","Age 75","Age <br/>45",
"All Sites","Age 75","Age <br/>50",
"All Sites","Age 75","Age <br/>55",
"All Sites","Age 75","Age <br/>60",
"All Sites","Age 75","Age <br/>65",
"All Sites","Age 75","Age <br/>70",
"All Sites","Age 75","Age <br/>75",
"All Sites","Age 75","Age <br/>80",8.891
"All Sites","Age 75","Age <br/>85",16.076
"All Sites","Age 75","Age <br/>90",20.839
"All Sites","Age 75","Age <br/>95",23.101
"All Sites","Age 75","Age <br/>95+",24.066
"All Sites","Age 80","Age <br/>5",
"All Sites","Age 80","Age <br/>10",
"All Sites","Age 80","Age <br/>15",
"All Sites","Age 80","Age <br/>20",
"All Sites","Age 80","Age <br/>25",
"All Sites","Age 80","Age <br/>30",
"All Sites","Age 80","Age <br/>35",
"All Sites","Age 80","Age <br/>40",
"All Sites","Age 80","Age <br/>45",
"All Sites","Age 80","Age <br/>50",
"All Sites","Age 80","Age <br/>55",
"All Sites","Age 80","Age <br/>60",
"All Sites","Age 80","Age <br/>65",
"All Sites","Age 80","Age <br/>70",
"All Sites","Age 80","Age <br/>75",
"All Sites","Age 80","Age <br/>80",
"All Sites","Age 80","Age <br/>85",9.022
"All Sites","Age 80","Age <br/>90",15.002
"All Sites","Age 80","Age <br/>95",17.842
"All Sites","Age 80","Age <br/>95+",19.054
"All Sites","Age 85","Age <br/>5",
"All Sites","Age 85","Age <br/>10",
"All Sites","Age 85","Age <br/>15",
"All Sites","Age 85","Age <br/>20",
"All Sites","Age 85","Age <br/>25",
"All Sites","Age 85","Age <br/>30",
"All Sites","Age 85","Age <br/>35",
"All Sites","Age 85","Age <br/>40",
"All Sites","Age 85","Age <br/>45",
